Place,District,Month,Season,Weekend,Weather,Visitor_Count_Level,Visitor_Type,Foreign_Tourists,Kids_Visitors,Senior_Citizens,Business_Activity
Pratapgad Fort,Satara,September,Monsoon,Yes,Rainy,Medium,Foreign Tourists,No,Medium,Low,Low
Trimbakeshwar Temple,Nashik,July,Monsoon,No,Humid,Low,Families,No,Low,High,Low
Gateway of India,Mumbai,May,Summer,No,Humid,Low,Solo Travelers,Yes,Medium,Low,Low
Kaas Plateau,Satara,January,Winter,Yes,Cool,High,Students,No,Medium,Low,Low
Tarkarli Beach,Sindhudurg,December,Winter,Yes,Cool,High,Solo Travelers,No,Medium,Low,High
Gateway of India,Mumbai,May,Summer,Yes,Humid,Medium,Students,Yes,High,Low,Medium
Shani Shingnapur,Ahmednagar,May,Summer,Yes,Hot,Medium,Families,No,High,High,Low
Khandala,Pune,February,Winter,Yes,Pleasant,High,Families,No,Medium,Low,Low
Ajanta Caves,Aurangabad,November,Post-Monsoon,Yes,Clear,High,Students,Yes,Medium,Low,Medium
Khandala,Pune,April,Summer,No,Hot,Low,Families,No,Medium,Low,Medium
Ellora Caves,Aurangabad,September,Monsoon,No,Rainy,Low,Solo Travelers,No,Low,Low,High
Daulatabad Fort,Aurangabad,June,Monsoon,No,Rainy,Low,Families,No,Low,Low,High
Daulatabad Fort,Aurangabad,January,Winter,Yes,Cool,High,Couples,No,Medium,Low,High
Elephanta Caves,Mumbai,September,Monsoon,Yes,Rainy,Medium,Solo Travelers,No,Medium,Low,Low
Raigad Fort,Raigad,January,Winter,Yes,Cool,High,Solo Travelers,No,Medium,Low,Low
Sindhudurg Fort,Sindhudurg,April,Summer,No,Warm,Low,Students,No,Medium,Low,Low
Ajanta Caves,Aurangabad,March,Summer,No,Hot,Low,Foreign Tourists,Yes,Medium,Low,Medium
Panchgani,Satara,January,Winter,No,Pleasant,Medium,Couples,No,Low,Low,Low
Elephanta Caves,Mumbai,March,Summer,Yes,Hot,Medium,Families,Yes,High,Low,High
Lonavala,Pune,July,Monsoon,No,Rainy,High,Solo Travelers,No,Low,Low,High
Khandala,Pune,October,Post-Monsoon,Yes,Clear,High,Couples,No,Medium,Low,Low
Lonavala,Pune,May,Summer,Yes,Hot,Medium,Solo Travelers,No,High,Low,Low
Khandala,Pune,May,Summer,Yes,Hot,Medium,Solo Travelers,No,High,Low,Medium
Raigad Fort,Raigad,March,Summer,No,Humid,Low,Foreign Tourists,No,Medium,Low,Medium
Matheran,Raigad,October,Post-Monsoon,No,Clear,Medium,Families,No,Low,Low,High
Sindhudurg Fort,Sindhudurg,August,Monsoon,Yes,Rainy,Medium,Couples,No,Medium,Low,Medium
Bhimashankar Temple,Pune,January,Winter,No,Pleasant,Medium,Families,No,Low,High,Low
Pratapgad Fort,Satara,September,Monsoon,Yes,Humid,Medium,Couples,No,Medium,Low,Low
Matheran,Raigad,November,Post-Monsoon,Yes,Pleasant,High,Couples,No,Medium,Low,High
Pratapgad Fort,Satara,June,Monsoon,Yes,Rainy,Medium,Solo Travelers,No,Medium,Low,High
Aga Khan Palace,Pune,December,Winter,Yes,Cool,High,Students,Yes,Medium,Low,Medium
Lonavala,Pune,June,Monsoon,Yes,Humid,High,Students,No,Medium,Low,Medium
Kaas Plateau,Satara,August,Monsoon,Yes,Rainy,Medium,Students,No,Medium,Low,High
Pratapgad Fort,Satara,November,Post-Monsoon,Yes,Clear,High,Solo Travelers,No,Medium,Low,High
Matheran,Raigad,March,Summer,No,Hot,Low,Couples,No,Medium,Low,Low
Gateway of India,Mumbai,May,Summer,No,Warm,Low,Couples,Yes,Medium,Low,High
Ellora Caves,Aurangabad,May,Summer,No,Hot,Low,Solo Travelers,Yes,Medium,Low,Medium
Matheran,Raigad,April,Summer,No,Warm,Low,Solo Travelers,No,Medium,Low,High
Bhimashankar Temple,Pune,July,Monsoon,No,Humid,Low,Solo Travelers,No,Low,High,Medium
Ellora Caves,Aurangabad,August,Monsoon,No,Humid,Low,Students,No,Low,Low,High
Shani Shingnapur,Ahmednagar,September,Monsoon,No,Humid,Low,Students,No,Low,High,Low
Daulatabad Fort,Aurangabad,November,Post-Monsoon,No,Pleasant,Medium,Students,No,Low,Low,Low
Elephanta Caves,Mumbai,May,Summer,Yes,Humid,Medium,Students,Yes,High,Low,Low
Trimbakeshwar Temple,Nashik,August,Monsoon,No,Rainy,Low,Students,No,Low,High,Medium
Ajanta Caves,Aurangabad,February,Winter,Yes,Pleasant,High,Foreign Tourists,Yes,Medium,Low,High
Raigad Fort,Raigad,January,Winter,Yes,Pleasant,High,Couples,No,Medium,Low,Low
Ajanta Caves,Aurangabad,October,Post-Monsoon,No,Clear,Medium,Solo Travelers,Yes,Low,Low,High
Kaas Plateau,Satara,February,Winter,Yes,Cool,High,Solo Travelers,No,Medium,Low,Medium
Mahabaleshwar,Satara,September,Monsoon,Yes,Humid,High,Families,No,Medium,Low,High
Bhimashankar Temple,Pune,November,Post-Monsoon,No,Clear,Medium,Families,No,Low,High,Low
Bhimashankar Temple,Pune,January,Winter,No,Pleasant,Medium,Solo Travelers,No,Low,High,Medium
Mahabaleshwar,Satara,May,Summer,No,Hot,Low,Students,No,Medium,Low,High
Shani Shingnapur,Ahmednagar,August,Monsoon,No,Humid,Low,Solo Travelers,No,Low,High,Medium
Pratapgad Fort,Satara,June,Monsoon,Yes,Rainy,Medium,Families,No,Medium,Low,Low
Matheran,Raigad,February,Winter,Yes,Cool,High,Foreign Tourists,No,Medium,Low,Medium
Shani Shingnapur,Ahmednagar,July,Monsoon,Yes,Rainy,Medium,Foreign Tourists,No,Medium,High,Medium
Sindhudurg Fort,Sindhudurg,September,Monsoon,No,Rainy,Low,Solo Travelers,No,Low,Low,Medium
Ajanta Caves,Aurangabad,May,Summer,No,Warm,Low,Students,Yes,Medium,Low,High
Daulatabad Fort,Aurangabad,January,Winter,No,Pleasant,Medium,Foreign Tourists,No,Low,Low,High
Daulatabad Fort,Aurangabad,January,Winter,Yes,Cool,High,Solo Travelers,No,Medium,Low,High
Shirdi,Ahmednagar,April,Summer,No,Hot,Low,Families,No,Medium,High,High
Kaas Plateau,Satara,April,Summer,Yes,Warm,Medium,Families,No,High,Low,Medium
Ellora Caves,Aurangabad,May,Summer,No,Hot,Low,Couples,Yes,Medium,Low,Medium
Elephanta Caves,Mumbai,January,Winter,No,Cool,Medium,Solo Travelers,Yes,Low,Low,Medium
Gateway of India,Mumbai,April,Summer,Yes,Hot,Medium,Families,Yes,High,Low,Medium
Shani Shingnapur,Ahmednagar,January,Winter,Yes,Pleasant,High,Students,No,Medium,High,High
Panchgani,Satara,November,Post-Monsoon,No,Clear,Medium,Foreign Tourists,No,Low,Low,Low
Sindhudurg Fort,Sindhudurg,June,Monsoon,No,Humid,Low,Foreign Tourists,No,Low,Low,Medium
Ellora Caves,Aurangabad,June,Monsoon,No,Humid,Low,Couples,No,Low,Low,High
Shani Shingnapur,Ahmednagar,September,Monsoon,No,Humid,Low,Couples,No,Low,High,Low
Ellora Caves,Aurangabad,May,Summer,No,Warm,Low,Foreign Tourists,Yes,Medium,Low,High
Shirdi,Ahmednagar,March,Summer,Yes,Humid,Medium,Foreign Tourists,No,High,High,Medium
Elephanta Caves,Mumbai,November,Post-Monsoon,Yes,Clear,High,Families,Yes,Medium,Low,Low
Sindhudurg Fort,Sindhudurg,April,Summer,No,Hot,Low,Couples,No,Medium,Low,Low
Matheran,Raigad,December,Winter,No,Cool,Medium,Foreign Tourists,No,Low,Low,Medium
Mahabaleshwar,Satara,December,Winter,Yes,Cool,High,Solo Travelers,No,Medium,Low,Low
Shirdi,Ahmednagar,October,Post-Monsoon,Yes,Clear,High,Couples,No,Medium,High,Medium
Sindhudurg Fort,Sindhudurg,December,Winter,Yes,Cool,High,Foreign Tourists,No,Medium,Low,High
Sindhudurg Fort,Sindhudurg,January,Winter,No,Pleasant,Medium,Couples,No,Low,Low,Low
Tarkarli Beach,Sindhudurg,May,Summer,Yes,Hot,Medium,Foreign Tourists,No,High,Low,High
Shirdi,Ahmednagar,January,Winter,Yes,Pleasant,High,Couples,No,Medium,High,High
Matheran,Raigad,February,Winter,No,Cool,Medium,Couples,No,Low,Low,High
Ajanta Caves,Aurangabad,November,Post-Monsoon,Yes,Clear,High,Solo Travelers,Yes,Medium,Low,High
Lonavala,Pune,August,Monsoon,Yes,Humid,High,Students,No,Medium,Low,High
Aga Khan Palace,Pune,July,Monsoon,No,Rainy,Low,Foreign Tourists,No,Low,Low,High
Elephanta Caves,Mumbai,August,Monsoon,Yes,Humid,Medium,Couples,No,Medium,Low,High
Ajanta Caves,Aurangabad,June,Monsoon,No,Rainy,Low,Foreign Tourists,No,Low,Low,Medium
Lonavala,Pune,July,Monsoon,Yes,Rainy,High,Families,No,Medium,Low,High
Raigad Fort,Raigad,January,Winter,No,Pleasant,Medium,Solo Travelers,No,Low,Low,Medium
Gateway of India,Mumbai,September,Monsoon,Yes,Humid,Medium,Families,No,Medium,Low,Medium
Shirdi,Ahmednagar,April,Summer,No,Humid,Low,Couples,No,Medium,High,Medium
Gateway of India,Mumbai,June,Monsoon,Yes,Humid,Medium,Students,No,Medium,Low,Medium
Shirdi,Ahmednagar,May,Summer,Yes,Humid,Medium,Families,No,High,High,Low
Daulatabad Fort,Aurangabad,August,Monsoon,No,Rainy,Low,Students,No,Low,Low,High
Ajanta Caves,Aurangabad,July,Monsoon,No,Humid,Low,Couples,No,Low,Low,Medium
Ellora Caves,Aurangabad,June,Monsoon,No,Rainy,Low,Couples,No,Low,Low,Medium
Pratapgad Fort,Satara,July,Monsoon,Yes,Rainy,Medium,Couples,No,Medium,Low,Low
Raigad Fort,Raigad,May,Summer,Yes,Humid,Medium,Couples,No,High,Low,Low
Panchgani,Satara,November,Post-Monsoon,Yes,Pleasant,High,Students,No,Medium,Low,Low
Tarkarli Beach,Sindhudurg,December,Winter,Yes,Cool,High,Foreign Tourists,No,Medium,Low,High
Bhimashankar Temple,Pune,December,Winter,No,Pleasant,Medium,Students,No,Low,High,Medium
Shirdi,Ahmednagar,November,Post-Monsoon,Yes,Clear,High,Foreign Tourists,No,Medium,High,Low
Shani Shingnapur,Ahmednagar,February,Winter,Yes,Cool,High,Students,No,Medium,High,High
Khandala,Pune,January,Winter,No,Pleasant,Medium,Solo Travelers,No,Low,Low,Medium
Gateway of India,Mumbai,February,Winter,Yes,Cool,High,Foreign Tourists,Yes,Medium,Low,Medium
Trimbakeshwar Temple,Nashik,April,Summer,No,Humid,Low,Students,No,Medium,High,Low
Elephanta Caves,Mumbai,June,Monsoon,No,Humid,Low,Foreign Tourists,No,Low,Low,High
Bhimashankar Temple,Pune,August,Monsoon,No,Rainy,Low,Students,No,Low,High,Medium
Panchgani,Satara,February,Winter,No,Cool,Medium,Solo Travelers,No,Low,Low,Low
Bhimashankar Temple,Pune,June,Monsoon,Yes,Humid,Medium,Foreign Tourists,No,Medium,High,High
Sindhudurg Fort,Sindhudurg,February,Winter,Yes,Cool,High,Foreign Tourists,No,Medium,Low,Medium
Lonavala,Pune,April,Summer,No,Hot,Low,Foreign Tourists,No,Medium,Low,Low
Daulatabad Fort,Aurangabad,July,Monsoon,No,Rainy,Low,Solo Travelers,No,Low,Low,Low
Tarkarli Beach,Sindhudurg,July,Monsoon,Yes,Rainy,Medium,Families,No,Medium,Low,Low
Elephanta Caves,Mumbai,June,Monsoon,Yes,Rainy,Medium,Solo Travelers,No,Medium,Low,Medium
Ajanta Caves,Aurangabad,May,Summer,No,Hot,Low,Students,Yes,Medium,Low,Medium
Pratapgad Fort,Satara,December,Winter,Yes,Cool,High,Foreign Tourists,No,Medium,Low,High
Trimbakeshwar Temple,Nashik,September,Monsoon,No,Rainy,Low,Students,No,Low,High,High
Trimbakeshwar Temple,Nashik,February,Winter,Yes,Cool,High,Couples,No,Medium,High,Low
Ajanta Caves,Aurangabad,March,Summer,Yes,Hot,Medium,Families,Yes,High,Low,Low
Aga Khan Palace,Pune,April,Summer,Yes,Warm,Medium,Foreign Tourists,Yes,High,Low,High
Kaas Plateau,Satara,February,Winter,Yes,Pleasant,High,Families,No,Medium,Low,Medium
Shani Shingnapur,Ahmednagar,May,Summer,No,Hot,Low,Students,No,Medium,High,High
Elephanta Caves,Mumbai,June,Monsoon,No,Humid,Low,Foreign Tourists,No,Low,Low,Medium
Shirdi,Ahmednagar,September,Monsoon,Yes,Humid,Medium,Students,No,Medium,High,Medium
Raigad Fort,Raigad,May,Summer,Yes,Hot,Medium,Solo Travelers,No,High,Low,High
Panchgani,Satara,February,Winter,Yes,Cool,High,Foreign Tourists,No,Medium,Low,High
Kaas Plateau,Satara,November,Post-Monsoon,No,Clear,Medium,Couples,No,Low,Low,High
Sindhudurg Fort,Sindhudurg,October,Post-Monsoon,Yes,Pleasant,High,Couples,No,Medium,Low,Low
Matheran,Raigad,February,Winter,Yes,Cool,High,Students,No,Medium,Low,Low
Ajanta Caves,Aurangabad,November,Post-Monsoon,No,Clear,Medium,Families,Yes,Low,Low,Low
Raigad Fort,Raigad,August,Monsoon,No,Rainy,Low,Solo Travelers,No,Low,Low,Medium
Bhimashankar Temple,Pune,January,Winter,Yes,Cool,High,Couples,No,Medium,High,High
Bhimashankar Temple,Pune,April,Summer,Yes,Humid,Medium,Foreign Tourists,No,High,High,Medium
Ellora Caves,Aurangabad,September,Monsoon,Yes,Rainy,Medium,Students,No,Medium,Low,Medium
Trimbakeshwar Temple,Nashik,December,Winter,No,Pleasant,Medium,Foreign Tourists,No,Low,High,High
Elephanta Caves,Mumbai,January,Winter,No,Pleasant,Medium,Couples,Yes,Low,Low,Low
Kaas Plateau,Satara,March,Summer,No,Hot,Low,Couples,No,Medium,Low,Low
Shirdi,Ahmednagar,May,Summer,No,Warm,Low,Students,No,Medium,High,Medium
Ellora Caves,Aurangabad,December,Winter,No,Cool,Medium,Families,Yes,Low,Low,Medium
Sindhudurg Fort,Sindhudurg,August,Monsoon,No,Rainy,Low,Couples,No,Low,Low,Medium
Khandala,Pune,June,Monsoon,No,Rainy,High,Families,No,Low,Low,Low
Tarkarli Beach,Sindhudurg,June,Monsoon,No,Humid,Low,Foreign Tourists,No,Low,Low,Low
Khandala,Pune,June,Monsoon,Yes,Humid,High,Students,No,Medium,Low,Medium
Khandala,Pune,March,Summer,No,Humid,Low,Solo Travelers,No,Medium,Low,High
Bhimashankar Temple,Pune,April,Summer,Yes,Warm,Medium,Couples,No,High,High,High
Mahabaleshwar,Satara,June,Monsoon,Yes,Humid,High,Families,No,Medium,Low,Medium
Raigad Fort,Raigad,July,Monsoon,Yes,Humid,Medium,Solo Travelers,No,Medium,Low,Medium
Panchgani,Satara,July,Monsoon,No,Rainy,Low,Couples,No,Low,Low,Low
Bhimashankar Temple,Pune,July,Monsoon,No,Rainy,Low,Families,No,Low,High,Medium
Sindhudurg Fort,Sindhudurg,March,Summer,Yes,Hot,Medium,Families,No,High,Low,High
Khandala,Pune,February,Winter,Yes,Pleasant,High,Couples,No,Medium,Low,High
Matheran,Raigad,November,Post-Monsoon,Yes,Clear,High,Students,No,Medium,Low,High
Panchgani,Satara,October,Post-Monsoon,Yes,Pleasant,High,Families,No,Medium,Low,High
Tarkarli Beach,Sindhudurg,September,Monsoon,No,Humid,Low,Couples,No,Low,Low,Medium
Sindhudurg Fort,Sindhudurg,January,Winter,No,Pleasant,Medium,Families,No,Low,Low,High
Lonavala,Pune,October,Post-Monsoon,No,Pleasant,Medium,Foreign Tourists,No,Low,Low,Medium
Mahabaleshwar,Satara,February,Winter,No,Pleasant,Medium,Couples,No,Low,Low,Low
Matheran,Raigad,July,Monsoon,No,Rainy,Low,Couples,No,Low,Low,Low
Panchgani,Satara,August,Monsoon,Yes,Humid,Medium,Foreign Tourists,No,Medium,Low,Medium
Gateway of India,Mumbai,January,Winter,Yes,Cool,High,Foreign Tourists,Yes,Medium,Low,Medium
Mahabaleshwar,Satara,November,Post-Monsoon,No,Pleasant,Medium,Solo Travelers,No,Low,Low,Low
Trimbakeshwar Temple,Nashik,September,Monsoon,No,Humid,Low,Foreign Tourists,No,Low,High,Low
Khandala,Pune,October,Post-Monsoon,No,Pleasant,Medium,Students,No,Low,Low,Low
Ellora Caves,Aurangabad,November,Post-Monsoon,Yes,Pleasant,High,Students,Yes,Medium,Low,Low
Matheran,Raigad,August,Monsoon,No,Humid,Low,Foreign Tourists,No,Low,Low,Medium
Kaas Plateau,Satara,November,Post-Monsoon,Yes,Clear,High,Families,No,Medium,Low,Medium
Khandala,Pune,April,Summer,No,Warm,Low,Solo Travelers,No,Medium,Low,Medium
Raigad Fort,Raigad,November,Post-Monsoon,Yes,Clear,High,Couples,No,Medium,Low,Medium
Sindhudurg Fort,Sindhudurg,January,Winter,No,Pleasant,Medium,Foreign Tourists,No,Low,Low,High
Khandala,Pune,February,Winter,Yes,Cool,High,Couples,No,Medium,Low,Medium
Raigad Fort,Raigad,November,Post-Monsoon,Yes,Pleasant,High,Students,No,Medium,Low,Low
Sindhudurg Fort,Sindhudurg,January,Winter,Yes,Cool,High,Students,No,Medium,Low,Medium
Tarkarli Beach,Sindhudurg,December,Winter,No,Pleasant,Medium,Solo Travelers,No,Low,Low,Medium
Sindhudurg Fort,Sindhudurg,October,Post-Monsoon,Yes,Clear,High,Couples,No,Medium,Low,Medium
Sindhudurg Fort,Sindhudurg,April,Summer,No,Hot,Low,Families,No,Medium,Low,Medium
Aga Khan Palace,Pune,November,Post-Monsoon,No,Pleasant,Medium,Solo Travelers,Yes,Low,Low,High
Shirdi,Ahmednagar,October,Post-Monsoon,Yes,Pleasant,High,Students,No,Medium,High,Medium
Shirdi,Ahmednagar,April,Summer,No,Warm,Low,Students,No,Medium,High,Medium
Ajanta Caves,Aurangabad,April,Summer,Yes,Hot,Medium,Students,Yes,High,Low,Low
Mahabaleshwar,Satara,February,Winter,Yes,Pleasant,High,Foreign Tourists,No,Medium,Low,High
Daulatabad Fort,Aurangabad,February,Winter,Yes,Pleasant,High,Students,No,Medium,Low,Medium
Panchgani,Satara,May,Summer,Yes,Hot,Medium,Solo Travelers,No,High,Low,Medium
Elephanta Caves,Mumbai,December,Winter,No,Pleasant,Medium,Students,Yes,Low,Low,High
Panchgani,Satara,August,Monsoon,Yes,Rainy,Medium,Students,No,Medium,Low,High
Gateway of India,Mumbai,May,Summer,Yes,Warm,Medium,Families,Yes,High,Low,High
Matheran,Raigad,July,Monsoon,No,Humid,Low,Families,No,Low,Low,Medium
Gateway of India,Mumbai,March,Summer,No,Warm,Low,Foreign Tourists,Yes,Medium,Low,Low
Pratapgad Fort,Satara,March,Summer,Yes,Humid,Medium,Couples,No,High,Low,Low
Tarkarli Beach,Sindhudurg,February,Winter,No,Cool,Medium,Solo Travelers,No,Low,Low,High
Khandala,Pune,September,Monsoon,Yes,Humid,High,Foreign Tourists,No,Medium,Low,High
Pratapgad Fort,Satara,April,Summer,No,Warm,Low,Foreign Tourists,No,Medium,Low,Medium
Elephanta Caves,Mumbai,November,Post-Monsoon,Yes,Clear,High,Couples,Yes,Medium,Low,High
Shirdi,Ahmednagar,June,Monsoon,No,Rainy,Low,Families,No,Low,High,High
Shani Shingnapur,Ahmednagar,June,Monsoon,No,Rainy,Low,Students,No,Low,High,Medium
Khandala,Pune,December,Winter,Yes,Cool,High,Students,No,Medium,Low,Low
Elephanta Caves,Mumbai,December,Winter,No,Pleasant,Medium,Foreign Tourists,Yes,Low,Low,High
Mahabaleshwar,Satara,July,Monsoon,Yes,Humid,High,Families,No,Medium,Low,Low
Daulatabad Fort,Aurangabad,September,Monsoon,No,Rainy,Low,Couples,No,Low,Low,Low
Ajanta Caves,Aurangabad,August,Monsoon,Yes,Humid,Medium,Families,No,Medium,Low,High
Ajanta Caves,Aurangabad,December,Winter,No,Cool,Medium,Foreign Tourists,Yes,Low,Low,Low
Aga Khan Palace,Pune,November,Post-Monsoon,Yes,Clear,High,Couples,Yes,Medium,Low,Low
Kaas Plateau,Satara,May,Summer,No,Warm,Low,Families,No,Medium,Low,High
Sindhudurg Fort,Sindhudurg,August,Monsoon,No,Rainy,Low,Couples,No,Low,Low,High
Gateway of India,Mumbai,March,Summer,No,Humid,Low,Couples,Yes,Medium,Low,Low
Ellora Caves,Aurangabad,November,Post-Monsoon,No,Clear,Medium,Students,Yes,Low,Low,Medium
Tarkarli Beach,Sindhudurg,December,Winter,No,Cool,Medium,Solo Travelers,No,Low,Low,High
Daulatabad Fort,Aurangabad,January,Winter,Yes,Cool,High,Foreign Tourists,No,Medium,Low,Low
Khandala,Pune,April,Summer,No,Humid,Low,Foreign Tourists,No,Medium,Low,Low
Aga Khan Palace,Pune,September,Monsoon,No,Rainy,Low,Solo Travelers,No,Low,Low,Medium
Gateway of India,Mumbai,April,Summer,No,Humid,Low,Families,Yes,Medium,Low,Medium
Tarkarli Beach,Sindhudurg,December,Winter,Yes,Pleasant,High,Foreign Tourists,No,Medium,Low,High
Shani Shingnapur,Ahmednagar,October,Post-Monsoon,Yes,Clear,High,Solo Travelers,No,Medium,High,High
Ajanta Caves,Aurangabad,April,Summer,Yes,Hot,Medium,Families,Yes,High,Low,High
Pratapgad Fort,Satara,April,Summer,Yes,Hot,Medium,Couples,No,High,Low,Medium
Mahabaleshwar,Satara,November,Post-Monsoon,Yes,Pleasant,High,Solo Travelers,No,Medium,Low,Low
Daulatabad Fort,Aurangabad,June,Monsoon,No,Humid,Low,Couples,No,Low,Low,High
Ellora Caves,Aurangabad,May,Summer,No,Hot,Low,Foreign Tourists,Yes,Medium,Low,Low
Pratapgad Fort,Satara,January,Winter,No,Cool,Medium,Families,No,Low,Low,Low
Panchgani,Satara,February,Winter,Yes,Pleasant,High,Couples,No,Medium,Low,Medium
Gateway of India,Mumbai,November,Post-Monsoon,Yes,Clear,High,Foreign Tourists,Yes,Medium,Low,Medium
Bhimashankar Temple,Pune,March,Summer,No,Hot,Low,Solo Travelers,No,Medium,High,Low
Bhimashankar Temple,Pune,October,Post-Monsoon,Yes,Clear,High,Students,No,Medium,High,Low
Sindhudurg Fort,Sindhudurg,October,Post-Monsoon,No,Pleasant,Medium,Students,No,Low,Low,Medium
Khandala,Pune,April,Summer,No,Humid,Low,Couples,No,Medium,Low,Medium
Panchgani,Satara,December,Winter,Yes,Cool,High,Couples,No,Medium,Low,High
Shirdi,Ahmednagar,July,Monsoon,No,Humid,Low,Couples,No,Low,High,High
Ellora Caves,Aurangabad,May,Summer,Yes,Humid,Medium,Students,Yes,High,Low,High
Gateway of India,Mumbai,July,Monsoon,Yes,Humid,Medium,Solo Travelers,No,Medium,Low,Low
Raigad Fort,Raigad,March,Summer,No,Humid,Low,Solo Travelers,No,Medium,Low,Low
Khandala,Pune,April,Summer,No,Warm,Low,Families,No,Medium,Low,Medium
Lonavala,Pune,March,Summer,Yes,Humid,Medium,Families,No,High,Low,Medium
Ajanta Caves,Aurangabad,July,Monsoon,No,Humid,Low,Foreign Tourists,No,Low,Low,Low
Trimbakeshwar Temple,Nashik,October,Post-Monsoon,Yes,Pleasant,High,Solo Travelers,No,Medium,High,High
Trimbakeshwar Temple,Nashik,December,Winter,Yes,Cool,High,Students,No,Medium,High,Medium
Trimbakeshwar Temple,Nashik,June,Monsoon,No,Humid,Low,Students,No,Low,High,Medium
Trimbakeshwar Temple,Nashik,September,Monsoon,Yes,Humid,Medium,Families,No,Medium,High,Low
Daulatabad Fort,Aurangabad,September,Monsoon,Yes,Humid,Medium,Solo Travelers,No,Medium,Low,Medium
Trimbakeshwar Temple,Nashik,December,Winter,No,Cool,Medium,Foreign Tourists,No,Low,High,High
Raigad Fort,Raigad,July,Monsoon,Yes,Rainy,Medium,Couples,No,Medium,Low,Low
Bhimashankar Temple,Pune,December,Winter,No,Pleasant,Medium,Foreign Tourists,No,Low,High,Low
Elephanta Caves,Mumbai,April,Summer,No,Hot,Low,Families,Yes,Medium,Low,Medium
Shani Shingnapur,Ahmednagar,January,Winter,No,Cool,Medium,Solo Travelers,No,Low,High,Medium
Pratapgad Fort,Satara,March,Summer,Yes,Hot,Medium,Families,No,High,Low,Low
Khandala,Pune,August,Monsoon,No,Rainy,High,Students,No,Low,Low,High
Raigad Fort,Raigad,May,Summer,Yes,Warm,Medium,Couples,No,High,Low,Medium
Mahabaleshwar,Satara,January,Winter,Yes,Cool,High,Foreign Tourists,No,Medium,Low,Low
Shani Shingnapur,Ahmednagar,March,Summer,Yes,Warm,Medium,Solo Travelers,No,High,High,Low
Raigad Fort,Raigad,October,Post-Monsoon,Yes,Pleasant,High,Couples,No,Medium,Low,High
Panchgani,Satara,February,Winter,Yes,Cool,High,Students,No,Medium,Low,Low
Khandala,Pune,June,Monsoon,Yes,Humid,High,Families,No,Medium,Low,Low
Panchgani,Satara,May,Summer,No,Humid,Low,Foreign Tourists,No,Medium,Low,High
Khandala,Pune,April,Summer,No,Hot,Low,Couples,No,Medium,Low,High
Ajanta Caves,Aurangabad,September,Monsoon,No,Rainy,Low,Couples,No,Low,Low,Medium
Elephanta Caves,Mumbai,July,Monsoon,No,Rainy,Low,Foreign Tourists,No,Low,Low,Low
Khandala,Pune,August,Monsoon,Yes,Humid,High,Solo Travelers,No,Medium,Low,High
Raigad Fort,Raigad,May,Summer,Yes,Warm,Medium,Couples,No,High,Low,Medium
Trimbakeshwar Temple,Nashik,March,Summer,Yes,Hot,Medium,Foreign Tourists,No,High,High,High
Elephanta Caves,Mumbai,May,Summer,Yes,Hot,Medium,Families,Yes,High,Low,Medium
Panchgani,Satara,December,Winter,Yes,Cool,High,Couples,No,Medium,Low,Low
Lonavala,Pune,June,Monsoon,No,Rainy,High,Families,No,Low,Low,Low
Raigad Fort,Raigad,May,Summer,No,Humid,Low,Students,No,Medium,Low,High
Tarkarli Beach,Sindhudurg,April,Summer,Yes,Hot,Medium,Foreign Tourists,No,High,Low,Medium
Trimbakeshwar Temple,Nashik,July,Monsoon,No,Humid,Low,Families,No,Low,High,Low
Panchgani,Satara,February,Winter,No,Pleasant,Medium,Solo Travelers,No,Low,Low,Low
Daulatabad Fort,Aurangabad,January,Winter,No,Cool,Medium,Foreign Tourists,No,Low,Low,Medium
Elephanta Caves,Mumbai,December,Winter,Yes,Cool,High,Students,Yes,Medium,Low,Medium
Tarkarli Beach,Sindhudurg,October,Post-Monsoon,Yes,Clear,High,Students,No,Medium,Low,Medium
Daulatabad Fort,Aurangabad,July,Monsoon,No,Rainy,Low,Couples,No,Low,Low,Low
Raigad Fort,Raigad,November,Post-Monsoon,Yes,Clear,High,Families,No,Medium,Low,Low
Khandala,Pune,August,Monsoon,Yes,Rainy,High,Foreign Tourists,No,Medium,Low,High
Daulatabad Fort,Aurangabad,April,Summer,No,Warm,Low,Students,No,Medium,Low,Low
Shirdi,Ahmednagar,August,Monsoon,Yes,Rainy,Medium,Students,No,Medium,High,High
Pratapgad Fort,Satara,February,Winter,Yes,Pleasant,High,Couples,No,Medium,Low,Low
Ellora Caves,Aurangabad,March,Summer,Yes,Humid,Medium,Solo Travelers,Yes,High,Low,High
Panchgani,Satara,November,Post-Monsoon,No,Pleasant,Medium,Solo Travelers,No,Low,Low,High
Ajanta Caves,Aurangabad,October,Post-Monsoon,No,Clear,Medium,Solo Travelers,Yes,Low,Low,High
Aga Khan Palace,Pune,January,Winter,No,Cool,Medium,Families,Yes,Low,Low,High
Panchgani,Satara,January,Winter,No,Cool,Medium,Solo Travelers,No,Low,Low,Medium
Daulatabad Fort,Aurangabad,March,Summer,No,Hot,Low,Couples,No,Medium,Low,Medium
Raigad Fort,Raigad,March,Summer,Yes,Warm,Medium,Foreign Tourists,No,High,Low,Low
Pratapgad Fort,Satara,December,Winter,Yes,Cool,High,Couples,No,Medium,Low,High
Kaas Plateau,Satara,December,Winter,Yes,Pleasant,High,Solo Travelers,No,Medium,Low,High
